provincia,codigo_provincia,municipio,codigo_municipio,tipo_via,sigla,denominacion,direccion_completa,barrio
Murcia,30,MURCIA,30,CALLE,CL,GUSTAVO ADOLFO BECQUER,"CALLE GUSTAVO ADOLFO BECQUER, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,GUSTAVO ADOLFO BECQUER,"CALLE GUSTAVO ADOLFO BECQUER, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,GUSTAVO PEREZ PUIG,"CALLE GUSTAVO PEREZ PUIG, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,GUTIERREZ MELLADO,"CALLE GUTIERREZ MELLADO, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,GUTIERREZ MELLADO,"CALLE GUTIERREZ MELLADO, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,GUTIERREZ MELLADO,"CALLE GUTIERREZ MELLADO, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,GUTIERREZ MELLADO,"CALLE GUTIERREZ MELLADO, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,H (ZM-SA1),"CALLE H (ZM-SA1), MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,H ED ZARANDONA,"CALLE H ED ZARANDONA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,H POL III PP EL PALMAR,"CALLE H POL III PP EL PALMAR, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,H PP ZARANDONA 3,"CALLE H PP ZARANDONA 3, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,H PP ZB-TR1 VILLA-AZAHAR,"CALLE H PP ZB-TR1 VILLA-AZAHAR, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,H PP ZU-SU-JA3,"CALLE H PP ZU-SU-JA3, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,H SECTOR ZB-PM7,"CALLE H SECTOR ZB-PM7, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,H UA1 PP ZM-GR3,"CALLE H UA1 PP ZM-GR3, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,H ZB GP2,"CALLE H ZB GP2, MURCIA, Murcia",DESCONOCIDO
